date,4. close,4. close,4. close
2013-09-18,33.32,464.68,903.32
2013-09-19,33.64,472.3,898.39
2013-09-20,32.791,467.41,903.11
2013-09-23,32.74,490.64,886.5
2013-09-24,32.455,489.1,886.84
2013-09-25,32.505,481.53,877.23
2013-09-26,32.77,486.22,878.17
2013-09-27,33.27,482.75,876.39
2013-09-30,33.28,476.75,875.91
2013-10-01,33.58,487.96,887.004
2013-10-02,33.92,489.56,887.99
2013-10-03,33.86,483.41,876.09
2013-10-04,33.88,483.03,872.35
2013-10-07,33.3,487.75,865.74
2013-10-08,33.01,480.94,853.67
2013-10-09,33.07,486.588,855.86
2013-10-10,33.76,489.638,868.24
2013-10-11,34.13,492.812,871.99
2013-10-14,34.45,496.04,876.11
2013-10-15,34.49,498.68,882.01
2013-10-16,34.64,501.114,898.029
2013-10-17,34.92,504.5,888.794
2013-10-18,34.96,508.89,1011.41
2013-10-21,34.99,521.362,1003.3
2013-10-22,34.58,519.8675,1007.0
2013-10-23,33.76,524.96,1031.41
2013-10-24,33.72,531.91,1025.55
2013-10-25,35.73,525.958,1015.2
2013-10-28,35.57,529.876,1015.0
2013-10-29,35.52,516.678,1036.24
2013-10-30,35.54,524.896,1030.42
2013-10-31,35.405,522.702,1030.58
2013-11-01,35.525,520.03,1027.04
2013-11-04,35.94,526.75,1026.11
2013-11-05,36.64,525.449,1021.52
2013-11-06,38.18,520.92,1022.75
2013-11-07,37.5,512.492,1007.95
2013-11-08,37.78,520.56,1016.03
2013-11-11,37.59,519.048,1010.59
2013-11-12,37.36,520.01,1011.78
2013-11-13,38.155,520.634,1032.47
2013-11-14,38.021,528.16,1035.23
2013-11-15,37.841,524.991,1033.56
2013-11-18,37.2,518.629,1031.55
2013-11-19,36.74,519.55,1025.2
2013-11-20,37.08,515.0,1022.31
2013-11-21,37.4,521.136,1034.07
2013-11-22,37.57,519.8,1031.89
2013-11-25,37.64,523.74,1045.93
2013-11-26,37.35,533.4,1058.41
2013-11-27,37.6,545.96,1063.11
2013-11-29,38.13,556.07,1059.59
2013-12-02,38.45,551.23,1054.48
2013-12-03,38.31,566.322,1053.26
2013-12-04,38.94,565.0,1058.18
2013-12-05,38.0,567.901,1057.34
2013-12-06,38.36,560.02,1069.87
2013-12-09,38.705,566.43,1078.14
2013-12-10,38.11,565.55,1084.66
2013-12-11,37.61,561.36,1077.29
2013-12-12,37.22,560.54,1069.96
2013-12-13,36.69,554.43,1060.79
2013-12-16,36.885,557.5,1072.98
2013-12-17,36.52,554.99,1069.86
2013-12-18,36.58,550.77,1084.75
2013-12-19,36.25,544.46,1086.22
2013-12-20,36.8,549.02,1100.62
2013-12-23,36.62,570.09,1115.1
2013-12-24,37.08,567.67,1111.84
2013-12-26,37.44,563.9,1117.46
2013-12-27,37.29,560.09,1118.4
2013-12-30,37.29,554.52,1109.46
2013-12-31,37.41,561.02,1120.71
2014-01-02,37.16,553.13,1113.12
2014-01-03,36.91,540.98,1105.0
2014-01-06,36.13,543.93,1117.32
2014-01-07,36.41,540.0375,1138.86
2014-01-08,35.76,543.46,1141.23
2014-01-09,35.53,536.519,1130.24
2014-01-10,36.04,532.94,1130.18
2014-01-13,34.98,535.73,1122.98
2014-01-14,35.78,546.39,1149.4
2014-01-15,36.76,557.36,1148.62
2014-01-16,36.89,554.25,1156.22
2014-01-17,36.38,540.67,1150.53
2014-01-21,36.17,549.07,1163.7
2014-01-22,35.93,551.51,1165.02
2014-01-23,36.055,556.18,1160.1
2014-01-24,36.805,546.07,1123.83
2014-01-27,36.03,550.5,1101.23
2014-01-28,36.27,506.5,1123.01
2014-01-29,36.66,500.75,1106.92
2014-01-30,36.86,499.782,1135.39
2014-01-31,37.84,500.6,1180.97
2014-02-03,36.48,501.53,1133.43
2014-02-04,36.35,508.79,1138.16
2014-02-05,35.82,512.59,1143.2
2014-02-06,36.18,512.51,1159.96
2014-02-07,36.56,519.68,1177.44
2014-02-10,36.8,528.99,1172.93
2014-02-11,37.175,535.96,1190.18
