Datum;Schlusskurs;SMA
2019-11-07 00:00:00;144,26;139,3961
2019-11-06 00:00:00;144,06;139,1417
2019-11-05 00:00:00;144,46;138,8547
2019-11-04 00:00:00;144,55;138,4213
2019-11-01 00:00:00;143,72;138,055
2019-10-31 00:00:00;143,37;137,7788
2019-10-30 00:00:00;144,61;137,4292
2019-10-29 00:00:00;142,83;136,9381
2019-10-28 00:00:00;144,19;136,6541
2019-10-25 00:00:00;140,73;136,3997
2019-10-24 00:00:00;139,94;136,2518
2019-10-23 00:00:00;137,24;136,2321
2019-10-22 00:00:00;136,37;136,3366
2019-10-21 00:00:00;138,43;136,3864
2019-10-18 00:00:00;137,41;136,4214
2019-10-17 00:00:00;139,69;136,5215
2019-10-16 00:00:00;140,41;136,5895
2019-10-15 00:00:00;141,57;136,4963
2019-10-14 00:00:00;139,55;136,2902
2019-10-11 00:00:00;139,68;136,1315
2019-10-10 00:00:00;139,1;136,0151
2019-10-09 00:00:00;138,24;135,9372
2019-10-08 00:00:00;135,67;135,8327
2019-10-07 00:00:00;137,12;135,8529
2019-10-04 00:00:00;138,12;135,8726
2019-10-03 00:00:00;136,28;135,9209
2019-10-02 00:00:00;134,65;136,1068
2019-10-01 00:00:00;137,07;136,2538
2019-09-30 00:00:00;139,03;136,203
2019-09-27 00:00:00;137,73;136,1453
2019-09-26 00:00:00;139,54;136,1645
2019-09-25 00:00:00;139,36;135,9683
2019-09-24 00:00:00;137,38;135,7898
2019-09-23 00:00:00;139,14;135,6946
2019-09-20 00:00:00;139,44;135,4111
2019-09-19 00:00:00;141,07;135,3292
2019-09-18 00:00:00;138,52;135,2168
2019-09-17 00:00:00;137,39;135,1547
2019-09-16 00:00:00;136,33;135,205
2019-09-13 00:00:00;137,32;135,1951
2019-09-12 00:00:00;137,52;135,0156
2019-09-11 00:00:00;136,12;134,8411
2019-09-10 00:00:00;136,08;134,94
2019-09-09 00:00:00;137,52;134,9028
2019-09-06 00:00:00;139,1;134,8889
2019-09-05 00:00:00;140,05;134,8551
2019-09-04 00:00:00;137,63;134,5971
2019-09-03 00:00:00;136,04;134,4294
2019-08-30 00:00:00;137,86;134,2183
2019-08-29 00:00:00;138,12;134,1478
2019-08-28 00:00:00;135,56;134,1216
2019-08-27 00:00:00;135,74;134,1336
2019-08-26 00:00:00;135,45;134,3372
2019-08-23 00:00:00;133,39;134,5886
2019-08-22 00:00:00;137,78;134,9567
2019-08-21 00:00:00;138,79;135,0519
2019-08-20 00:00:00;137,26;135,1233
2019-08-19 00:00:00;138,41;135,1999
2019-08-16 00:00:00;136,13;135,1776
2019-08-15 00:00:00;133,68;135,1787
2019-08-14 00:00:00;133,98;135,2908
2019-08-13 00:00:00;138,6;135,3807
2019-08-12 00:00:00;135,79;135,306
2019-08-09 00:00:00;137,71;135,4588
2019-08-08 00:00:00;138,89;135,5173
2019-08-07 00:00:00;135,28;135,4932
2019-08-06 00:00:00;134,69;135,6195
2019-08-05 00:00:00;132,21;135,7065
2019-08-02 00:00:00;136,9;135,9399
2019-08-01 00:00:00;138,06;135,9477
2019-07-31 00:00:00;136,27;135,9183
2019-07-30 00:00:00;140,35;135,9335
2019-07-29 00:00:00;141,03;135,704
2019-07-26 00:00:00;141,34;135,3566
2019-07-25 00:00:00;140,19;135,0033
2019-07-24 00:00:00;140,72;134,6957
2019-07-23 00:00:00;139,29;134,3375
2019-07-22 00:00:00;138,43;134,2633
2019-07-19 00:00:00;136,62;134,1915
2019-07-18 00:00:00;136,42;134,2077
2019-07-17 00:00:00;136,27;134,1719
2019-07-16 00:00:00;137,08;134,1173
2019-07-15 00:00:00;138,9;133,9095
2019-07-12 00:00:00;138,9;133,5925
2019-07-11 00:00:00;138,4;133,2692
2019-07-10 00:00:00;137,85;132,9296
2019-07-09 00:00:00;136,46;132,6471
2019-07-08 00:00:00;136,96;132,4574
2019-07-05 00:00:00;137,06;132,1842
2019-07-03 00:00:00;137,46;131,7301
2019-07-02 00:00:00;136,58;131,1587
2019-07-01 00:00:00;135,68;130,4992
2019-06-28 00:00:00;133,96;129,7209
2019-06-27 00:00:00;134,15;129,2157
2019-06-26 00:00:00;133,93;128,802
2019-06-25 00:00:00;133,43;128,3602
2019-06-24 00:00:00;137,78;128,003
2019-06-21 00:00:00;136,97;127,4359
2019-06-20 00:00:00;136,95;126,9057
2019-06-19 00:00:00;135,69;126,4497
2019-06-18 00:00:00;135,16;126,0177
2019-06-17 00:00:00;132,85;125,5784
2019-06-14 00:00:00;132,45;125,3436
2019-06-13 00:00:00;132,32;125,1706
2019-06-12 00:00:00;131,49;124,861
2019-06-11 00:00:00;132,1;124,5065
2019-06-10 00:00:00;132,6;124,0545
2019-06-07 00:00:00;131,4;123,763
2019-06-06 00:00:00;127,82;123,4507
2019-06-05 00:00:00;125,83;123,3147
2019-06-04 00:00:00;123,16;123,2771
2019-06-03 00:00:00;119,84;123,4994
2019-05-31 00:00:00;123,68;123,9215
2019-05-30 00:00:00;125,73;124,0233
2019-05-29 00:00:00;124,94;124,1061
2019-05-28 00:00:00;126,16;124,3609
2019-05-24 00:00:00;126,24;124,5151
2019-05-23 00:00:00;126,18;124,6712
2019-05-22 00:00:00;127,67;124,7941
2019-05-21 00:00:00;126,9;124,641
2019-05-20 00:00:00;126,22;124,5469
2019-05-17 00:00:00;128,07;124,4039
2019-05-16 00:00:00;128,93;124,1509
2019-05-15 00:00:00;126,02;123,7773
2019-05-14 00:00:00;124,73;123,4977
2019-05-13 00:00:00;123,35;123,3175
2019-05-10 00:00:00;127,13;123,2
2019-05-09 00:00:00;125,5;122,8671
2019-05-08 00:00:00;125,51;122,6071
2019-05-07 00:00:00;125,52;122,3021
2019-05-06 00:00:00;128,15;122,0284
2019-05-03 00:00:00;128,9;121,624
2019-05-02 00:00:00;126,21;121,1569
2019-05-01 00:00:00;127,88;120,8514
2019-04-30 00:00:00;130,6;120,4259
2019-04-29 00:00:00;129,77;119,859
2019-04-26 00:00:00;129,89;119,2798
2019-04-25 00:00:00;129,15;118,6453
2019-04-24 00:00:00;125,01;118,0391
2019-04-23 00:00:00;125,44;117,6915
2019-04-22 00:00:00;123,76;117,3106
2019-04-18 00:00:00;123,37;116,9821
2019-04-17 00:00:00;121,77;116,8279
2019-04-16 00:00:00;120,77;116,6198
2019-04-15 00:00:00;121,05;116,467
2019-04-12 00:00:00;120,95;116,2966
2019-04-11 00:00:00;120,33;116,0499
2019-04-10 00:00:00;120,19;115,7689
2019-04-09 00:00:00;119,28;115,4903
2019-04-08 00:00:00;119,93;115,2132
2019-04-05 00:00:00;119,89;114,8655
2019-04-04 00:00:00;119,36;114,4063
2019-04-03 00:00:00;119,97;113,9671
2019-04-02 00:00:00;119,19;113,5647
2019-04-01 00:00:00;119,02;113,198
2019-03-29 00:00:00;117,94;112,867
2019-03-28 00:00:00;116,93;112,6021
2019-03-27 00:00:00;116,77;112,3622
2019-03-26 00:00:00;117,91;112,137
2019-03-25 00:00:00;117,66;111,8653
2019-03-22 00:00:00;117,05;111,5681
2019-03-21 00:00:00;120,22;111,2704
2019-03-20 00:00:00;117,52;110,7411
2019-03-19 00:00:00;117,65;110,2334
2019-03-18 00:00:00;117,57;109,7466
2019-03-15 00:00:00;115,91;109,2662
2019-03-14 00:00:00;114,59;108,8027
2019-03-13 00:00:00;114,5;108,3994
2019-03-12 00:00:00;113,62;108,0045
2019-03-11 00:00:00;112,83;107,5727
2019-03-08 00:00:00;110,51;107,2
2019-03-07 00:00:00;110,39;106,9214
2019-03-06 00:00:00;111,75;106,6857
2019-03-05 00:00:00;111,7;106,4415
2019-03-04 00:00:00;112,26;106,1276
2019-03-01 00:00:00;112,53;105,6419
2019-02-28 00:00:00;112,03;105,2235
2019-02-27 00:00:00;112,17;104,9246
2019-02-26 00:00:00;112,36;104,4512
2019-02-25 00:00:00;111,59;104,0727
2019-02-22 00:00:00;110,97;103,8339
2019-02-21 00:00:00;109,41;103,5781
2019-02-20 00:00:00;107,15;103,4236
2019-02-19 00:00:00;108,17;103,3295
2019-02-15 00:00:00;108,22;103,3071
2019-02-14 00:00:00;106,9;103,2047
2019-02-13 00:00:00;106,81;103,1306
2019-02-12 00:00:00;106,89;103,0429
2019-02-11 00:00:00;105,25;102,8069
2019-02-08 00:00:00;105,67;102,6875
2019-02-07 00:00:00;105,27;102,5866
2019-02-06 00:00:00;106,03;102,5378
2019-02-05 00:00:00;107,22;102,3803
2019-02-04 00:00:00;105,74;102,1288
2019-02-01 00:00:00;102,78;101,943
2019-01-31 00:00:00;104,43;101,6808
2019-01-30 00:00:00;106,38;101,5194
2019-01-29 00:00:00;102,94;101,2849
2019-01-28 00:00:00;105,08;101,1606
2019-01-25 00:00:00;107,17;100,9705
2019-01-24 00:00:00;106,2;100,6482
2019-01-23 00:00:00;106,71;100,0598
2019-01-22 00:00:00;105,68;99,6464
2019-01-18 00:00:00;107,71;99,4431
2019-01-17 00:00:00;106,12;99,2471
2019-01-16 00:00:00;105,38;99,1423
2019-01-15 00:00:00;105,01;99,0209
2019-01-14 00:00:00;102,05;99,0706
2019-01-11 00:00:00;102,8;99,4314
2019-01-10 00:00:00;103,6;99,7375
2019-01-09 00:00:00;104,27;99,9808
2019-01-08 00:00:00;102,8;100,1427
2019-01-07 00:00:00;102,06;100,2411
2019-01-04 00:00:00;101,93;100,5887
2019-01-03 00:00:00;97,4;100,91
2019-01-02 00:00:00;101,12;101,6262
2018-12-31 00:00:00;101,57;102,1025
2018-12-28 00:00:00;100,39;102,5227
2018-12-27 00:00:00;101,18;103,0458
2018-12-26 00:00:00;100,56;103,3363
2018-12-24 00:00:00;94,13;103,6245
2018-12-21 00:00:00;98,23;104,0603
2018-12-20 00:00:00;101,51;104,2982
2018-12-19 00:00:00;103,69;104,3079
2018-12-18 00:00:00;103,97;104,3533
2018-12-17 00:00:00;102,89;104,5639
2018-12-14 00:00:00;106,03;104,7779
2018-12-13 00:00:00;109,45;104,7262
2018-12-12 00:00:00;109,08;104,5811
2018-12-11 00:00:00;108,59;104,4506
2018-12-10 00:00:00;107,59;104,4751
2018-12-07 00:00:00;104,82;104,6542
2018-12-06 00:00:00;109,19;104,9784
2018-12-04 00:00:00;108,52;104,8838
2018-12-03 00:00:00;112,09;104,8117
2018-11-30 00:00:00;110,89;104,5001
2018-11-29 00:00:00;110,19;104,2352
2018-11-28 00:00:00;111,12;104,0477
2018-11-27 00:00:00;107,14;103,6654
2018-11-26 00:00:00;106,47;103,4829
2018-11-23 00:00:00;103,07;103,4841
